backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
resnet50,mean,elasticnet,0.32913888617924286,0.04085825287512114,0.17938326861447124,0.0409894718800809,0.4210815540157463,0.04553672673958265,0.8732027250822252,0.03309922395184161
resnet50,concat_abs_diff,linear,0.32993028555597576,0.04178288665977576,0.17900463951788964,0.049403858054236624,0.41961641235082625,0.0540990388427648,0.8732436219115458,0.03945139185123671
resnet50,concat_abs_diff,ridge,0.3314461395286379,0.04094346009144984,0.18049301571132054,0.04824576630290775,0.42157208480713615,0.05263072318223792,0.872228109751671,0.038630345828904136
vit_b_16,concat,ridge,0.33300176757857913,0.020769130404237487,0.1792488566025586,0.01651989114361509,0.4229262528007868,0.019550992160080684,0.8739053176596739,0.013163946837743225
resnet50,concat,linear,0.3352572918960026,0.04222756294768422,0.18575593252589542,0.04885799764011334,0.4277456618022568,0.05281648734291929,0.8685577238189779,0.03903583938128365
resnet50,concat,ridge,0.33621645603861133,0.041163761679636694,0.1855681326483651,0.047822547414057795,0.427651034189873,0.05179503455638612,0.8687116499485759,0.0382674530972431
resnet50,max,elasticnet,0.33650101668494087,0.04625950231711075,0.183653673225907,0.0469600473565561,0.42551774286801214,0.050875571057427106,0.8700381690044889,0.037741809186959595
resnet50,concat_abs_diff,elasticnet,0.3367893067768642,0.02830071172047675,0.17563845314451634,0.03242034656149671,0.41748394255495624,0.036682568793453,0.8759182250941484,0.02702419936006987
convnext_tiny,max,elasticnet,0.3380976847921099,0.038164084989035306,0.18591167113380663,0.040775803127257836,0.4287111517772061,0.04602629113526285,0.868777087183744,0.03237116730118178
vit_b_16,concat_abs_diff,ridge,0.33997422690618606,0.01913643086823089,0.18722352155371186,0.01819251054278236,0.43218625656190995,0.020941852657175398,0.8683395731726163,0.013782907698107257
vit_b_16,max,elasticnet,0.3412873603048779,0.029694503202281154,0.1928379126643402,0.030394148224309425,0.4377333330527624,0.03503486547511743,0.8639204843686997,0.025025530923119044
resnet50,mean,ridge,0.34252855029560275,0.050866869975647946,0.18708664485998283,0.05461404376294096,0.42843318772896677,0.05942767463378317,0.86756599949192,0.042981518799015614
resnet50,max,ridge,0.34332367136364894,0.05347723474502358,0.19150739657152624,0.059973133660960805,0.43293017614692914,0.06386594673936326,0.864334703550764,0.04710928829596777
vit_b_16,mean,ridge,0.3434780514921461,0.022454675128288616,0.19079804421034371,0.02237591330908421,0.4360971315075052,0.024846249239461715,0.8655144965886044,0.019595766399754234
resnet50,max,linear,0.3458112445445288,0.05364064969058216,0.19544513634819272,0.057533910955858115,0.4378297990077856,0.06123890470113548,0.8616201383311074,0.04526708592468073
vit_b_16,mean,elasticnet,0.34623566420873003,0.027411760944280755,0.19105577798759268,0.028931453975581473,0.4358639480684138,0.0328389518987398,0.8652876146190153,0.023703111068674725
resnet50,mean,linear,0.34704377425284616,0.04831084731657782,0.19349686522409879,0.053704993073472464,0.4360724068497978,0.05777301453380464,0.8630856095149013,0.042327285157053626
vit_b_16,max,ridge,0.3477353272097451,0.028661987824835346,0.1982785754126796,0.026802297233098238,0.44426539953425487,0.030113621325714268,0.8601012328634257,0.023018524959801296
resnet50,concat,elasticnet,0.34833593147141595,0.03129994152106289,0.18758045096609996,0.03370449298811882,0.4315030058294484,0.03722374143273293,0.8675838333819801,0.02780074246311154
vit_b_16,concat_abs_diff,elasticnet,0.34941542894499644,0.020314065783097496,0.19468914026047363,0.02016696084019366,0.44064362521438827,0.02285466732191268,0.8629685911819628,0.0162971971077231
vit_b_16,concat,elasticnet,0.3515517806098575,0.02354604455648679,0.19663528267944785,0.016801215962229492,0.4430346631403429,0.01885656213552073,0.8617251818245153,0.012783252070852036
densenet121,concat,random_forest,0.35172113689220824,0.025075459417181492,0.19370447201691782,0.025626834539488115,0.4391072378941419,0.029821228108433576,0.8637460173387617,0.019433407712570516
densenet121,concat_abs_diff,random_forest,0.3532911218257894,0.024723226415288523,0.195416717094456,0.0256220089515935,0.44109711545236563,0.02915564840744162,0.8624174152509759,0.020423334387348092
convnext_tiny,mean,linear,0.36440937609899615,0.021005998221176873,0.20467690863967153,0.017903393573400917,0.4519734741627698,0.01992203034099894,0.8561365213755557,0.01294524596024387
densenet121,mean,random_forest,0.36501706100182885,0.023036090781516673,0.21445401112783352,0.029602152955609924,0.461959380854647,0.03236574683557749,0.848968475174906,0.023317035976001734
vit_b_16,concat_abs_diff,linear,0.3680671834605081,0.017925867591625805,0.21566139350523272,0.020115170745584336,0.46390967234742975,0.021194560805382928,0.8484918889634011,0.013528740548944013
convnext_tiny,max,linear,0.3714188358897254,0.025407969914254036,0.2179705347039665,0.032082039935071305,0.46546989551108275,0.036170583031908454,0.8468105972368116,0.023142949297173494
densenet121,max,random_forest,0.3736931723370487,0.02349659812470545,0.2163402286325095,0.024312229952781525,0.4643886422269148,0.026142257040125103,0.8477317518663477,0.01954744695576059
vit_b_16,concat,linear,0.38144574866976055,0.031127382055778398,0.23015318996853415,0.02568726592946107,0.4789524459063938,0.02752715983927627,0.8380949798100877,0.019426431556694868
convnext_tiny,concat_abs_diff,random_forest,0.4043101400373839,0.03819679413572137,0.23929495408325613,0.03564322423407994,0.4877635039540754,0.03717147150300659,0.8316029452746319,0.02722500271959679
convnext_tiny,concat,random_forest,0.40524342206052966,0.04012624088024201,0.24264809091653863,0.04007376035856192,0.49083896790218884,0.0415355089682636,0.8292878099778198,0.029667580850680105
resnet50,concat,random_forest,0.4070027137188211,0.036441327127691624,0.2557044126937412,0.04418686138433729,0.5038402856264035,0.043004409932531726,0.819448342009587,0.036538385811188706
vit_b_16,max,linear,0.4109840358779544,0.03291874419854749,0.26925894428839053,0.03761781237168906,0.5176325876978052,0.03626911139888148,0.8108664131317449,0.025630813143378374
resnet50,max,random_forest,0.4130470228253543,0.03847918747171437,0.26072790283675246,0.05063275628657661,0.5084474721322753,0.04700075445194057,0.8157984117042923,0.04175912406701173
resnet50,concat_abs_diff,random_forest,0.41537644743040963,0.03434556439633945,0.26220220328790583,0.042758727183227936,0.510447813131481,0.04056147626991079,0.8148972858658177,0.03585770709576467
convnext_tiny,mean,random_forest,0.41820486006765367,0.024086274517937097,0.26034824684556224,0.021506630852689466,0.509799923212263,0.021266996457725083,0.816896648364434,0.017161714504624594
resnet50,mean,random_forest,0.41958933494598477,0.03944505090560134,0.26942293710877496,0.05071501654236701,0.5169222572309963,0.04705653076871211,0.8098116307750335,0.04131631578052362
vit_b_16,concat,random_forest,0.42411692626667197,0.026768700724992777,0.26852593455368623,0.02821588598381251,0.5174958675475503,0.02690653498491381,0.8114006811860628,0.01886706014332924
vit_b_16,mean,linear,0.4252568224157606,0.02059268040404814,0.2921990215584236,0.02356535053756041,0.5401228855678915,0.02159375011984183,0.7942867200672026,0.02140911363824071
convnext_tiny,max,random_forest,0.4322592986034083,0.02712888155426322,0.2734010601361538,0.03422433882392025,0.521845291622528,0.032841311599151886,0.8077174611423235,0.025649802324207063
vit_b_16,concat_abs_diff,random_forest,0.43390530022832774,0.023791023403037286,0.27982395698821116,0.024262680234386175,0.5284881421286415,0.02289630139625165,0.8034924241131571,0.015736857078791047
vit_b_16,max,random_forest,0.4458967918981308,0.022389464216198703,0.3031905696180178,0.027763260767935293,0.5500536778037111,0.02513008461245236,0.7870595588817344,0.01879550881766089
vit_b_16,mean,random_forest,0.448280569351519,0.019801319410598008,0.29978049523000994,0.03812311810129714,0.5463404599540994,0.03595270570003246,0.7890579406468046,0.028708788847776695
convnext_tiny,mean,mlp,0.5079598671935853,0.01595487321597908,0.3983516428469631,0.03031322889350012,0.6306752057109148,0.02450362725104877,0.7195874353327003,0.027106401283219728
vit_b_16,mean,mlp,0.5487308327555657,0.050721358264393744,0.4760858153580349,0.07163466015074618,0.6879943381650209,0.052436685735367715,0.6648066625942727,0.055902070297002025
convnext_tiny,max,mlp,0.5821680647617296,0.023053036143432352,0.5346397076636633,0.045038866662785386,0.7305291596944321,0.03109428403758798,0.6239058948110531,0.037238407685662736
