file_name,bridge_angle,Fr,Fr_ini,plates,cubes,logs,Q[dm],H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
dried debris,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,104,14.3,98,89,239,108,9,0.1,,,,10,19
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,104.5,14.3,98.5,89,241,109,9.5,0.10555555555555556,,,,10,38
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,105.5,14.3,99.5,89,243,110,10.5,0.11666666666666667,,,,10,57
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,107,14.2,101,87.99999999999999,245,111,13.000000000000014,0.1444444444444446,0.10989010989010989,48,82,10,76
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,11,0
dried debris,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,106,14.2,100,87.99999999999999,249,112,12.000000000000014,0.1333333333333335,,,,11,19
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,109,14.2,103,87.99999999999999,251,113,15.000000000000014,0.16666666666666682,,,,11,38
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,110,14.2,104,87.99999999999999,253,114,16.000000000000014,0.17777777777777792,,,,11,57
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,113,14.2,107,87.99999999999999,255,115,19.000000000000014,0.21111111111111128,0.18888888888888888,x,x,11,76
"N3_R_2P_F0,4_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,12,0
dried debris,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,99,14.2,93,87.99999999999999,257,116,5.000000000000014,0.05555555555555571,,,,12,19
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,101,14.2,95,87.99999999999999,259,117,7.000000000000014,0.07777777777777793,,,,12,38
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,103,14.2,97,87.99999999999999,261,118,9.000000000000014,0.10000000000000016,,,,12,57
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,104,14.2,98,87.99999999999999,263,119,10.000000000000014,0.11111111111111127,0.08888888888888889,88,102,12,76
"N3_R_2P_F0,4_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0,0,1,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,13,0
dried debris,22.5,0.013530637235548072,0.4,0,0,1,13.5,101,14.2,95,87.99999999999999,265,120,7.000000000000014,0.07777777777777793,,,,13,19
,22.5,0.013530637235548072,0.4,0,0,1,13.5,104,14.2,98,87.99999999999999,267,121,10.000000000000014,0.11111111111111127,,,,13,38
,22.5,0.013530637235548072,0.4,0,0,1,13.5,106,14.2,100,87.99999999999999,269,122,12.000000000000014,0.1333333333333335,,,,13,57
,22.5,0.013530637235548072,0.4,0,0,1,13.5,106,14.2,100,87.99999999999999,271,123,12.000000000000014,0.1333333333333335,0.1111111111111111,70,85,13,76
